Agent ID,Agent Name,Agent Type,Total Properties_x,Spoken Languages by Agent,Agent BRN,Company ID,Designation,Total Properties_y
6918daf2-1c51-4409-8607-b48ef3974103,Benjamin Larrad,REGULAR,260,['nan'],,6fecff2a-4dc3-4f29-a068-3863f7d08a0f,Allsopp & Allsopp - Motor City Sales,
bf200e4e-7665-4c7c-9813-03abb4897e08,Raed Thabet,SUPERAGENT,267,"['English', 'Arabic']",,91ce169a-09ef-4c47-a6bb-e02bf3b144d8,Property Consultant,267
2d1e91a2-309a-4f0d-9ca9-decc1184e167,Callum RadfordAS,REGULAR,87,"['English', 'Hindi', 'Urdu']",46526,33d9ef41-7a96-4902-9f95-1484eb6ee504,Real Estate Agent,85
af992064-d54e-4c74-83fb-b1ccb997128c,Tatyana Kirichenko,REGULAR,928,"['English', 'Russian']",23799,6b903cc4-cca8-429e-a62a-64e61692519a,Property Management,920
3c3751af-28ef-4682-a2a9-c78b247f16a5,Rolf Manuel,SUPERAGENT,153,"['English', 'Hindi', 'Urdu', 'Bengali']",58346,543c74e4-3e54-4983-a10e-d8a57f5031d8,Property Consultant,149
3ccb205d-6974-4967-b413-ee9c1cdac9a4,Fatima Sabri,SUPERAGENT,38,"['English', 'Urdu', 'Punjabi']",47298,06e737ef-80cf-469f-b73a-099feb589d8c,Sales &amp;amp; Leasing Property Consultant,38
d511b28e-dc9d-48a8-8557-eba71d36fe05,Erica Assmann-Jonkers,REGULAR,369,"['English', 'Dutch']",,a7c3655f-fdba-4e24-8b60-3e4f9059e85c,Property Consultant,367
32dfa749-f25a-428b-9a09-2c4d9280bfa0,Mukesh Jagdish Singh,SUPERAGENT,124,"['English', 'Hindi']",52123,15ce5a7f-9bb8-4c64-b68d-45f7137edf17,Real Estate Broker,124
ea74ce67-d237-4c87-b072-77bb05b2d931,Ahmed Lalani,REGULAR,90,"['English', 'Hindi']",53136,c850ab91-a250-4833-a887-5c34b9e07137,Senior Real Estate Brokers,90
5f6d2e49-ad47-4b73-9969-b836ff987976,Amro Homsi,REGULAR,435,"['English', 'Arabic', 'Spanish']",52768,cbc58ee9-9638-441b-b10f-da96fa96356c,Property Consultant,420
ff9bdf2d-d421-4a7f-aa92-1c001168cf48,Aditya L Bhushan,SUPERAGENT,218,"['English', 'Hindi', 'Urdu']",52812,8c5e69d4-ca6d-4e42-8ee1-b4cd4d82bdfd,Investment Consultant,216
568646dc-254c-458e-bca3-9f7e6e7ff163,Rabeet Saleem,SUPERAGENT,218,"['English', 'Urdu']",42148,8c5e69d4-ca6d-4e42-8ee1-b4cd4d82bdfd,Property Consultant,216
fd358445-fa72-4694-b57f-24a31c961a69,Lilian Lopez,SUPERAGENT,97,['English'],57390,e114a636-9ee7-41a0-a586-7d38b69326be,Real Estate Broker,97
0d72d791-28f0-4aef-9ce5-71ef2496e95c,Sayed Firoz,REGULAR,22,"['English', 'Hindi', 'Urdu']",11067,76faa41d-da6e-4217-bb3a-8343e0641424,Sales Manager,22
0a1f6675-50e9-459c-9d1e-844b6538aaf9,Fadi Alsalem,SUPERAGENT,330,"['English', 'Arabic']",44340,bb82ed35-432d-43c2-97b8-6a4f267cf8ee,Senior Property Consultant,332
36dad3a3-2e32-4a42-a3cb-2c5b24051bda,Shimroz Syed,REGULAR,26,"['English', 'Urdu']",25988,5e5e9f91-ddad-4777-8c03-e6c43ee60432,Senior Property Consultant,26
4bf4c832-fc08-4889-bb4e-aa5be0057af6,Muhammad Nawaz,SUPERAGENT,48,"['English', 'Urdu']",37747,d26fd669-2a3c-4b9f-869d-83babe0a29cc,Managing Director,48
5d1bc3fe-5878-4710-b3b8-7ed566f4e8fb,Ahmed Emadeldin,REGULAR,136,"['English', 'Arabic']",44727,2a370b43-67a8-4ba4-8e35-43c40cdfebdb,Managing Director,137
94a857d7-3c40-44ba-9ee1-eb049e62759a,Elena Bukadida,REGULAR,30,"['English', 'Arabic', 'French', 'Russian']",43875,4bbabfaf-e430-4bee-91b8-4193223aa02f,General Manager,30
169cd0b3-bffb-4e26-ac24-e7f51c145a72,Latef Yakoub,REGULAR,40,"['English', 'Arabic']",,6fecff2a-4dc3-4f29-a068-3863f7d08a0f,Loci Properties LLC,
06be450f-a0de-47f5-bac7-314660f70a92,Mazhar Kapadia,SUPERAGENT,106,"['English', 'Hindi', 'Urdu', 'Gujarati']",44602,e2650114-3bb1-4a17-b163-54a47dc36d76,Sales Manager,106
da44017d-010a-4581-98a8-e826935df870,Mazin Chahin,SUPERAGENT,168,"['English', 'Arabic', 'French', 'Russian']",36263,b0e00a07-082c-4640-923f-cf1332ae8532,General Manager,168
75e1c691-aa26-4c7b-8b9e-7447f1ee11e1,Muhammad Noman Khan,REGULAR,46,"['English', 'Urdu']",,d02a2f94-3a64-4019-bed6-e995fe0c2457,managing partner,46
7b75731b-2191-40e3-a405-687eaa552564,Rafiq Hassan,SUPERAGENT,165,"['English', 'Arabic', 'Hindi', 'Urdu', 'Pashto']",,dceb4bc6-7589-4234-bb96-560dc37eb8c3,CEO,165
9f4abb15-ab17-42a1-b9af-2b751f9ff3e0,David Hughes,REGULAR,284,['nan'],59086,6fecff2a-4dc3-4f29-a068-3863f7d08a0f,Gold Mark Real Estate,
2a52a516-1ec5-4f23-9a97-d9b328747c2c,Joshua Brooks,REGULAR,582,['English'],46330,803ce959-46ba-40fb-b253-52da9718a52a,Property Sales Consultant,584
8ed48e76-70d6-4c36-a333-c4565216aa16,Noureen Ibrahim,SUPERAGENT,80,"['English', 'Hindi', 'Urdu']",51468,4b6e5064-e0a4-44f2-89b2-6373e3f6e2be,Head of Sales,80
1ed2545f-c7bd-4ad9-b30e-c8c7df8bcf1c,Mansour Alawadi,REGULAR,"1,389",['nan'],,6fecff2a-4dc3-4f29-a068-3863f7d08a0f,H F Real Estate,
d4730b95-01b3-4b58-a7e0-5b32969e7286,Smit Vora,SUPERAGENT,141,"['English', 'Hindi', 'Gujarati']",57521,7919a93f-a0b5-4624-a089-d4a43563a440,PROPERTY CONSULTANT,141
0bef7b59-9e27-4fc4-95ba-6ae0d2a40833,Teona Buzaladze,SUPERAGENT,62,['English'],41507,f99a8527-7744-4baa-929a-64a4586a317b,Managing Director,62
641dda57-6978-4f08-bd09-894045b6ff52,Gavin Pinchin,REGULAR,928,['English'],36999,6b903cc4-cca8-429e-a62a-64e61692519a,Senior Sales Consultant,920
c64112d0-1bfd-477a-b421-56850ab5a348,Mohammad Mai,SUPERAGENT,912,"['English', 'Arabic']",,cfe2e893-e2ae-4100-8cc5-c3d395a6ad34,Sales Agent,912
8215f530-2470-4d13-8a19-0daf4c24cded,Ghayth Ayache,SUPERAGENT,96,"['English', 'Arabic', 'French', 'Spanish']",55112,886de800-df3a-49d0-9eb3-914f0861a28f,Real Estate Advisor,96
763c414c-9809-4d38-ad70-4ed1243910da,Sunil Nair,REGULAR,123,"['English', 'Hindi', 'Malayalam']",31264,6dac9c30-4c64-4275-ab55-e41f60e3ee07,Sales Manager,123
